School,Nickname,City,State,Conference,Type
North Carolina State University,Wolfpack,Raleigh,North Carolina,Atlantic Coast Conference,State
University of North Carolina at Wilmington,Seahawks,Wilmington,North Carolina,Colonial Athletic Association,State
University of North Dakota,Fighting Hawks[A 23],Grand Forks,North Dakota,The Summit League[m],State
North Dakota State University,Bison,Fargo,North Dakota,The Summit League[h],State
University of North Florida,Ospreys and Lady Ospreys,Jacksonville,Florida,Atlantic Sun Conference,State
University of North Texas,Mean Green,Denton,Texas,Conference USA,State
Northeastern University,Huskies,Boston,Massachusetts,Colonial Athletic Association,Private/Non-Sectarian
Northern Arizona University,Lumberjacks,Flagstaff,Arizona,Big Sky Conference,State
University of Northern Colorado,Bears,Greeley,Colorado,Big Sky Conference,State
Northern Illinois University,Huskies,DeKalb,Illinois,Mid-American Conference,State
University of Northern Iowa,Panthers,Cedar Falls,Iowa,Missouri Valley Conference[h],State
Northern Kentucky University,Norse,Highland Heights,Kentucky,Horizon League,State
Northwestern University,Wildcats,Evanston,Illinois,Big Ten Conference,Private/Non-Sectarian
Northwestern State University,Demons and Lady Demons,Natchitoches,Louisiana,Southland Conference,State
University of Notre Dame,Fighting Irish,South Bend,Indiana,Atlantic Coast Conference[n],Private/Catholic
Oakland University,Golden Grizzlies,Rochester,Michigan,Horizon League,State
Ohio University,Bobcats,Athens,Ohio,Mid-American Conference,State
The Ohio State University,Buckeyes,Columbus,Ohio,Big Ten Conference,State
University of Oklahoma,Sooners,Norman,Oklahoma,Big 12 Conference,State
Oklahoma State University–Stillwater,Cowboys and Cowgirls,Stillwater,Oklahoma,Big 12 Conference,State
Old Dominion University,Monarchs and Lady Monarchs,Norfolk,Virginia,Conference USA,State
Oral Roberts University,Golden Eagles,Tulsa,Oklahoma,The Summit League,Private/Christian
University of Oregon,Ducks,Eugene,Oregon,Pac-12 Conference,State
Oregon State University,Beavers,Corvallis,Oregon,Pac-12 Conference,State
University of the Pacific,Tigers,Stockton,California,West Coast Conference,Private/Methodist
University of Pennsylvania,Quakers,Philadelphia,Pennsylvania,Ivy League,Private/Non-Sectarian
Pennsylvania State University,Nittany Lions[A 24],State College,Pennsylvania,Big Ten Conference,State-related
Pepperdine University,Waves,Malibu,California,West Coast Conference,Private/Churches of Christ
University of Pittsburgh,Panthers[A 25],Pittsburgh,Pennsylvania,Atlantic Coast Conference,State-related
University of Portland,Pilots,Portland,Oregon,West Coast Conference,Private/Catholic
Portland State University,Vikings,Portland,Oregon,Big Sky Conference,State
Prairie View A&M University,Panthers and Lady Panthers,Prairie View,Texas,Southwestern Athletic Conference,State
Presbyterian College,Blue Hose,Clinton,South Carolina,Big South Conference[o],Private/Presbyterian
Princeton University,Tigers,Princeton,New Jersey,Ivy League,Private/Non-Sectarian
Providence College,Friars,Providence,Rhode Island,Big East Conference,Private/Catholic
Purdue University,Boilermakers,West Lafayette,Indiana,Big Ten Conference,State
Purdue University Fort Wayne[p],Mastodons,Fort Wayne,Indiana,The Summit League,State
Quinnipiac University,Bobcats,Hamden,Connecticut,Metro Atlantic Athletic Conference,Private/Non-Sectarian
Radford University,Highlanders,Radford,Virginia,Big South Conference,State
University of Rhode Island,Rams,Kingston,Rhode Island,Atlantic 10 Conference,State
Rice University,Owls,Houston,Texas,Conference USA,Private/Non-Sectarian
University of Richmond,Spiders,Richmond,Virginia,Atlantic 10 Conference,Private/Non-Sectarian
Rider University,Broncs,Lawrenceville,New Jersey,Metro Atlantic Athletic Conference,Private/Non-Sectarian
Robert Morris University,Colonials,Moon Township,Pennsylvania,Northeast Conference,Private/Non-Sectarian
Rutgers University,Scarlet Knights,New Brunswick,New Jersey,Big Ten Conference,State-private hybrid
Sacred Heart University,Pioneers,Fairfield,Connecticut,Northeast Conference,Private/Catholic
St. Bonaventure University,Bonnies,St. Bonaventure,New York,Atlantic 10 Conference,Private/Catholic
St. Francis College,Terriers[A 26],Brooklyn,New York,Northeast Conference,Private/Catholic
Saint Francis University,Red Flash[A 27],Loretto,Pennsylvania,Northeast Conference,Private/Catholic
St. John's University,Red Storm[A 28],Jamaica,New York,Big East Conference,Private/Catholic
Saint Joseph's University,Hawks[A 29],Philadelphia,Pennsylvania,Atlantic 10 Conference,Private/Catholic
Saint Louis University,Billikens,St. Louis,Missouri,Atlantic 10 Conference,Private/Catholic
Saint Mary's College of California,Gaels,Moraga,California,West Coast Conference,Private/Catholic
Saint Peter's University,Peacocks and Peahens,Jersey City,New Jersey,Metro Atlantic Athletic Conference,Private/Catholic
Sam Houston State University,Bearkats,Huntsville,Texas,Southland Conference,State
Samford University,Bulldogs,Homewood,Alabama,Southern Conference,Private/Baptist
University of San Diego,Toreros,San Diego,California,West Coast Conference[a],Private/Catholic
San Diego State University,Aztecs,San Diego,California,Mountain West Conference,State
University of San Francisco,Dons,San Francisco,California,West Coast Conference,Private/Catholic
San Jose State University,Spartans,San Jose,California,Mountain West Conference,State
Santa Clara University,Broncos,Santa Clara,California,West Coast Conference,Private/Catholic
Savannah State University,Tigers and Lady Tigers,Savannah,Georgia,Mid-Eastern Athletic Conference[q],State
Seattle University,Redhawks,Seattle,Washington,Western Athletic Conference,Private/Catholic
Seton Hall University,Pirates,South Orange,New Jersey,Big East Conference,Private/Catholic
Siena College,Saints,Loudonville,New York,Metro Atlantic Athletic Conference,Private/Catholic
University of South Alabama,Jaguars,Mobile,Alabama,Sun Belt Conference,State
University of South Carolina,Gamecocks,Columbia,South Carolina,Southeastern Conference,State
South Carolina State University,Bulldogs and Lady Bulldogs,Orangeburg,South Carolina,Mid-Eastern Athletic Conference,State
University of South Carolina Upstate,Spartans[A 30],Spartanburg,South Carolina,Big South Conference,State
University of South Dakota,Coyotes,Vermillion,South Dakota,The Summit League[h],State
South Dakota State University,Jackrabbits,Brookings,South Dakota,The Summit League[h],State
