School,Nickname,City,State,Conference,Type
Georgia Institute of Technology,Yellow Jackets,Atlanta,Georgia,Atlantic Coast Conference,State
Georgia Southern University,Eagles and Lady Eagles,Statesboro,Georgia,Sun Belt Conference,State
Georgia State University,Panthers,Atlanta,Georgia,Sun Belt Conference,State
Gonzaga University,Bulldogs,Spokane,Washington,West Coast Conference,Private/Catholic
Grambling State University,Tigers and Lady Tigers,Grambling,Louisiana,Southwestern Athletic Conference,State
Grand Canyon University,Antelopes,Phoenix,Arizona,Western Athletic Conference,Private/Christian
Hampton University,Pirates and Lady Pirates,Hampton,Virginia,Big South Conference[f],Private/Non-sectarian
University of Hartford,Hawks,West Hartford,Connecticut,America East Conference,Private/Non-sectarian
Harvard University,Crimson,Cambridge[A 8],Massachusetts,Ivy League,Private/Non-sectarian
University of Hawaii at Manoa,Rainbow Warriors and Rainbow Wahine[A 9],Honolulu,Hawaii,Big West Conference[g],State
High Point University,Panthers,High Point,North Carolina,Big South Conference,Private/Methodist
Hofstra University,Pride,Hempstead,New York,Colonial Athletic Association,Private/Non-sectarian
College of the Holy Cross,Crusaders,Worcester,Massachusetts,Patriot League,Private/Catholic
University of Houston,Cougars,Houston,Texas,American Athletic Conference,State
Houston Baptist University,Huskies,Houston,Texas,Southland Conference,Private/Baptist
Howard University,Bison and Lady Bison,Washington,District of Columbia,Mid-Eastern Athletic Conference,Private/Non-sectarian
University of Idaho,Vandals,Moscow,Idaho,Big Sky Conference,State
Idaho State University,Bengals,Pocatello,Idaho,Big Sky Conference,State
University of Illinois at Chicago,Flames[A 10],Chicago,Illinois,Horizon League,State
Illinois State University,Redbirds,Normal,Illinois,Missouri Valley Conference[h],State
University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,Big Ten Conference,State
University of the Incarnate Word,Cardinals,San Antonio,Texas,Southland Conference,Private/Catholic
Indiana University,Hoosiers,Bloomington,Indiana,Big Ten Conference,State
Indiana State University,Sycamores,Terre Haute,Indiana,Missouri Valley Conference[h],State
Indiana University – Purdue University Indianapolis,Jaguars,Indianapolis,Indiana,Horizon League,State
Iona College,Gaels,New Rochelle,New York,Metro Atlantic Athletic Conference,Private/Catholic
University of Iowa,Hawkeyes,Iowa City,Iowa,Big Ten Conference,State
Iowa State University,Cyclones,Ames,Iowa,Big 12 Conference,State
